产品类型,资产大类,字段,字段类型,字段含义,值域,特殊规则
COMM_SPREADOPT,商品,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
COMM_SPREADOPT,商品,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_SPREADOPT,商品,VV_FLAG,布尔,VannaVolga开关,true/false,
COMM_STEP_UP,商品,ABS_FLAG,布尔,绝对值标志,,
COMM_STEP_UP,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMM_STEP_UP,商品,CALL_OR_PUT,字符串,看涨看跌,Call/Put,
COMM_STEP_UP,商品,CURRENCY_CODE,字符串,货币代码,,
COMM_STEP_UP,商品,DAY_COUNT_BASIS,字符串,日计数基准,"actual/365,actual/360,30/360",
COMM_STEP_UP,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMM_STEP_UP,商品,DOMESTIC_RATE,浮点数,国内利率,,
COMM_STEP_UP,商品,EPS,浮点数,扰动步长,,
COMM_STEP_UP,商品,FIXING_DATE,日期,定盘日,,yyyyMMdd
COMM_STEP_UP,商品,FIXING_ID,字符串,定盘ID,,
COMM_STEP_UP,商品,FOREIGN_RATE,浮点数,国外利率,,
COMM_STEP_UP,商品,FRTB_COMM_ASSET,字符串,,,
COMM_STEP_UP,商品,FRTB_COMM_BUCKET,字符串,,,
COMM_STEP_UP,商品,FRTB_COMM_LOCATION,字符串,,,
COMM_STEP_UP,商品,HIGH_RATE,浮点数,高收益率,,
COMM_STEP_UP,商品,INSTRUMENT_ID,字符串,交易编号,,
COMM_STEP_UP,商品,LOWER_BARRIER,浮点数,下障碍,,
COMM_STEP_UP,商品,LOW_RATE,浮点数,低收益率,,
COMM_STEP_UP,商品,MATURITY_DATE,日期,到期日,,yyyyMMdd
COMM_STEP_UP,商品,MID_RATE,浮点数,中间收益率,,
COMM_STEP_UP,商品,NOTIONAL,浮点数,名义金额,,非负有限数
COMM_STEP_UP,商品,PRICE_CURVE,字符串,价格曲线,,
COMM_STEP_UP,商品,PRODUCT_CODE,字符串,产品代码,,
COMM_STEP_UP,商品,SETTLE_CURRENCY_CODE,字符串,结算货币,,
COMM_STEP_UP,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMM_STEP_UP,商品,SIGMABYGOALSEEK,浮点数,,,
COMM_STEP_UP,商品,START_DATE,日期,起息日,,yyyyMMdd
COMM_STEP_UP,商品,TERM_DAYS,长整数,,,
COMM_STEP_UP,商品,TRADE_DATE,日期,交易日,,yyyyMMdd
COMM_STEP_UP,商品,UNDERLYING_CODE,字符串,标的代码,,
COMM_STEP_UP,商品,UNDERLYING_ID,字符串,标的ID,,
COMM_STEP_UP,商品,UNDERLYING_TYPE,字符串,标的类型,,
COMM_STEP_UP,商品,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
COMM_STEP_UP,商品,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_STEP_UP,商品,VV_FLAG,布尔,VannaVolga开关,true/false,
COMM_WEDDING_CAKE,商品,ABS_FLAG,布尔,绝对值标志,,
COMM_WEDDING_CAKE,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMM_WEDDING_CAKE,商品,CONTRACT_SIZE,浮点数,合约乘数,,默认1
COMM_WEDDING_CAKE,商品,CURRENCY_CODE,字符串,货币代码,,
COMM_WEDDING_CAKE,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMM_WEDDING_CAKE,商品,EPS,浮点数,扰动步长,,
COMM_WEDDING_CAKE,商品,FIXING_ID,字符串,定盘ID,,
COMM_WEDDING_CAKE,商品,INNER_LOWER_BARRIER,浮点数,内层下障碍,,
COMM_WEDDING_CAKE,商品,INNER_RATE,浮点数,内层收益率,,
